match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,0.1,Samoa,Papua New Guinea,VM Andrew,AF Aoina,GP Tom,0,1,1,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,0.2,Samoa,Papua New Guinea,VM Andrew,AF Aoina,GP Tom,0,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,0.3,Samoa,Papua New Guinea,VM Andrew,AF Aoina,GP Tom,1,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,0.4,Samoa,Papua New Guinea,AF Aoina,VM Andrew,GP Tom,2,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,0.5,Samoa,Papua New Guinea,AF Aoina,VM Andrew,GP Tom,2,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,0.6,Samoa,Papua New Guinea,AF Aoina,VM Andrew,GP Tom,0,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,0.7,Samoa,Papua New Guinea,AF Aoina,VM Andrew,GP Tom,1,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,1.1,Samoa,Papua New Guinea,AF Aoina,VM Andrew,HJ Thomas,0,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,1.2,Samoa,Papua New Guinea,AF Aoina,VM Andrew,HJ Thomas,0,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,1.3,Samoa,Papua New Guinea,AF Aoina,VM Andrew,HJ Thomas,2,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,1.4,Samoa,Papua New Guinea,AF Aoina,VM Andrew,HJ Thomas,0,0,,,,,,bowled,AF Aoina,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,1.5,Samoa,Papua New Guinea,J Sanele,VM Andrew,HJ Thomas,0,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,1.6,Samoa,Papua New Guinea,J Sanele,VM Andrew,HJ Thomas,0,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,2.1,Samoa,Papua New Guinea,VM Andrew,J Sanele,GP Tom,1,0,,,,,,,,,
1394799,2023,2023-09-04,Vanuatu Cricket Ground,1,2.2,Samoa,Papua New Guinea,J Sanele,VM Andrew,GP Tom,0,0,,,,,,,,,
