match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1394802,2023,2023-09-04,Vanuatu Cricket Ground (Oval 2),1,0.1,Fiji,Japan,I Waqavakatoga,M Ratuki,S Kato,0,0,,,,,,,,,
1394802,2023,2023-09-04,Vanuatu Cricket Ground (Oval 2),1,0.2,Fiji,Japan,I Waqavakatoga,M Ratuki,S Kato,1,0,,,,,,,,,
1394802,2023,2023-09-04,Vanuatu Cricket Ground (Oval 2),1,0.3,Fiji,Japan,M Ratuki,I Waqavakatoga,S Kato,2,0,,,,,,,,,
1394802,2023,2023-09-04,Vanuatu Cricket Ground (Oval 2),1,0.4,Fiji,Japan,M Ratuki,I Waqavakatoga,S Kato,0,0,,,,,,,,,
1394802,2023,2023-09-04,Vanuatu Cricket Ground (Oval 2),1,0.5,Fiji,Japan,M Ratuki,I Waqavakatoga,S Kato,0,0,,,,,,,,,
1394802,2023,2023-09-04,Vanuatu Cricket Ground (Oval 2),1,0.6,Fiji,Japan,M Ratuki,I Waqavakatoga,S Kato,0,0,,,,,,,,,
1394802,2023,2023-09-04,Vanuatu Cricket Ground (Oval 2),1,1.1,Fiji,Japan,I Waqavakatoga,M Ratuki,Nonoha Yasumoto,0,0,,,,,,,,,
1394802,2023,2023-09-04,Vanuatu Cricket Ground (Oval 2),1,1.2,Fiji,Japan,I Waqavakatoga,M Ratuki,Nonoha Yasumoto,0,0,,,,,,,,,
1394802,2023,2023-09-04,Vanuatu Cricket Ground (Oval 2),1,1.3,Fiji,Japan,I Waqavakatoga,M Ratuki,Nonoha Yasumoto,0,0,,,,,,,,,
1394802,2023,2023-09-04,Vanuatu Cricket Ground (Oval 2),1,1.4,Fiji,Japan,I Waqavakatoga,M Ratuki,Nonoha Yasumoto,0,1,1,,,,,,,,
