match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,0.1,United Arab Emirates,Qatar,ER Oza,L Keny,H Agarwal,0,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,0.2,United Arab Emirates,Qatar,ER Oza,L Keny,H Agarwal,0,1,1,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,0.3,United Arab Emirates,Qatar,ER Oza,L Keny,H Agarwal,0,1,1,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,0.4,United Arab Emirates,Qatar,ER Oza,L Keny,H Agarwal,0,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,0.5,United Arab Emirates,Qatar,ER Oza,L Keny,H Agarwal,2,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,0.6,United Arab Emirates,Qatar,ER Oza,L Keny,H Agarwal,0,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,0.7,United Arab Emirates,Qatar,ER Oza,L Keny,H Agarwal,1,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,0.8,United Arab Emirates,Qatar,L Keny,ER Oza,H Agarwal,1,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,1.1,United Arab Emirates,Qatar,L Keny,ER Oza,RS Quyn,4,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,1.2,United Arab Emirates,Qatar,L Keny,ER Oza,RS Quyn,0,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,1.3,United Arab Emirates,Qatar,L Keny,ER Oza,RS Quyn,0,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,1.4,United Arab Emirates,Qatar,L Keny,ER Oza,RS Quyn,1,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,1.5,United Arab Emirates,Qatar,ER Oza,L Keny,RS Quyn,1,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,1.6,United Arab Emirates,Qatar,L Keny,ER Oza,RS Quyn,0,1,,,,1,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,2.1,United Arab Emirates,Qatar,L Keny,ER Oza,H Agarwal,0,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,2.2,United Arab Emirates,Qatar,L Keny,ER Oza,H Agarwal,0,0,,,,,,,,,
1394763,2023,2023-09-03,"Selangor Turf Club, Kuala Lumpur",1,2.3,United Arab Emirates,Qatar,L Keny,ER Oza,H Agarwal,0,0,,,,,,,,,
