match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,0.1,Munster Reds,North-West Warriors,M Commins,AR Frost,GI Hume,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,0.2,Munster Reds,North-West Warriors,M Commins,AR Frost,GI Hume,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,0.3,Munster Reds,North-West Warriors,M Commins,AR Frost,GI Hume,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,0.4,Munster Reds,North-West Warriors,M Commins,AR Frost,GI Hume,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,0.5,Munster Reds,North-West Warriors,M Commins,AR Frost,GI Hume,1,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,0.6,Munster Reds,North-West Warriors,AR Frost,M Commins,GI Hume,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,1.1,Munster Reds,North-West Warriors,M Commins,AR Frost,R MacBeth,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,1.2,Munster Reds,North-West Warriors,M Commins,AR Frost,R MacBeth,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,1.3,Munster Reds,North-West Warriors,M Commins,AR Frost,R MacBeth,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,1.4,Munster Reds,North-West Warriors,M Commins,AR Frost,R MacBeth,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,1.5,Munster Reds,North-West Warriors,M Commins,AR Frost,R MacBeth,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,1.6,Munster Reds,North-West Warriors,M Commins,AR Frost,R MacBeth,1,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,2.1,Munster Reds,North-West Warriors,M Commins,AR Frost,GI Hume,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,2.2,Munster Reds,North-West Warriors,M Commins,AR Frost,GI Hume,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,2.3,Munster Reds,North-West Warriors,M Commins,AR Frost,GI Hume,1,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,2.4,Munster Reds,North-West Warriors,AR Frost,M Commins,GI Hume,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,2.5,Munster Reds,North-West Warriors,AR Frost,M Commins,GI Hume,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,2.6,Munster Reds,North-West Warriors,AR Frost,M Commins,GI Hume,0,0,,,,,,,,,
1375534,2023,2023-09-04,"Bready Cricket Club, Magheramason, Bready",1,3.1,Munster Reds,North-West Warriors,M Commins,AR Frost,R MacBeth,0,0,,,,,,,,,
