match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,0.1,England,Sri Lanka,DN Wyatt,ME Bouchier,AC Jayangani,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,0.2,England,Sri Lanka,DN Wyatt,ME Bouchier,AC Jayangani,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,0.3,England,Sri Lanka,DN Wyatt,ME Bouchier,AC Jayangani,1,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,0.4,England,Sri Lanka,ME Bouchier,DN Wyatt,AC Jayangani,4,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,0.5,England,Sri Lanka,ME Bouchier,DN Wyatt,AC Jayangani,1,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,0.6,England,Sri Lanka,DN Wyatt,ME Bouchier,AC Jayangani,0,0,,,,,,bowled,DN Wyatt,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,1.1,England,Sri Lanka,ME Bouchier,A Capsey,KDU Prabodhani,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,1.2,England,Sri Lanka,ME Bouchier,A Capsey,KDU Prabodhani,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,1.3,England,Sri Lanka,ME Bouchier,A Capsey,KDU Prabodhani,1,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,1.4,England,Sri Lanka,A Capsey,ME Bouchier,KDU Prabodhani,1,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,1.5,England,Sri Lanka,ME Bouchier,A Capsey,KDU Prabodhani,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,1.6,England,Sri Lanka,ME Bouchier,A Capsey,KDU Prabodhani,4,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,2.1,England,Sri Lanka,A Capsey,ME Bouchier,SIP Fernando,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,2.2,England,Sri Lanka,A Capsey,ME Bouchier,SIP Fernando,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,2.3,England,Sri Lanka,A Capsey,ME Bouchier,SIP Fernando,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,2.4,England,Sri Lanka,A Capsey,ME Bouchier,SIP Fernando,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,2.5,England,Sri Lanka,A Capsey,ME Bouchier,SIP Fernando,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,2.6,England,Sri Lanka,A Capsey,ME Bouchier,SIP Fernando,1,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,3.1,England,Sri Lanka,A Capsey,ME Bouchier,BMSM Kumari,1,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,3.2,England,Sri Lanka,ME Bouchier,A Capsey,BMSM Kumari,1,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,3.3,England,Sri Lanka,A Capsey,ME Bouchier,BMSM Kumari,0,0,,,,,,caught,A Capsey,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,3.4,England,Sri Lanka,HC Knight,ME Bouchier,BMSM Kumari,4,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,3.5,England,Sri Lanka,HC Knight,ME Bouchier,BMSM Kumari,1,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,3.6,England,Sri Lanka,ME Bouchier,HC Knight,BMSM Kumari,1,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,4.1,England,Sri Lanka,ME Bouchier,HC Knight,SIP Fernando,0,0,,,,,,caught,ME Bouchier,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,4.2,England,Sri Lanka,AE Jones,HC Knight,SIP Fernando,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,4.3,England,Sri Lanka,AE Jones,HC Knight,SIP Fernando,4,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,4.4,England,Sri Lanka,AE Jones,HC Knight,SIP Fernando,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,4.5,England,Sri Lanka,AE Jones,HC Knight,SIP Fernando,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,4.6,England,Sri Lanka,AE Jones,HC Knight,SIP Fernando,0,0,,,,,,,,,
1336081,2023,2023-09-02,"County Ground, Chelmsford",1,5.1,England,Sri Lanka,HC Knight,AE Jones,KDU Prabodhani,0,1,1,,,,,,,,
