match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,0.1,Samoa,Indonesia,VM Andrew,AF Aoina,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,0.2,Samoa,Indonesia,VM Andrew,AF Aoina,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,0.3,Samoa,Indonesia,VM Andrew,AF Aoina,NMP Suwandewi,0,1,1,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,0.4,Samoa,Indonesia,VM Andrew,AF Aoina,NMP Suwandewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,0.5,Samoa,Indonesia,AF Aoina,VM Andrew,NMP Suwandewi,0,0,,,,,,bowled,AF Aoina,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,0.6,Samoa,Indonesia,J Sanele,VM Andrew,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,0.7,Samoa,Indonesia,J Sanele,VM Andrew,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,1.1,Samoa,Indonesia,VM Andrew,J Sanele,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,1.2,Samoa,Indonesia,VM Andrew,J Sanele,NLKWR Dewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,1.3,Samoa,Indonesia,J Sanele,VM Andrew,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,1.4,Samoa,Indonesia,J Sanele,VM Andrew,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,1.5,Samoa,Indonesia,J Sanele,VM Andrew,NLKWR Dewi,0,0,,,,,,bowled,J Sanele,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,1.6,Samoa,Indonesia,T Lafai,VM Andrew,NLKWR Dewi,0,1,1,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,1.7,Samoa,Indonesia,T Lafai,VM Andrew,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,2.1,Samoa,Indonesia,VM Andrew,T Lafai,NMP Suwandewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,2.2,Samoa,Indonesia,T Lafai,VM Andrew,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,2.3,Samoa,Indonesia,T Lafai,VM Andrew,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,2.4,Samoa,Indonesia,T Lafai,VM Andrew,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,2.5,Samoa,Indonesia,T Lafai,VM Andrew,NMP Suwandewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,2.6,Samoa,Indonesia,VM Andrew,T Lafai,NMP Suwandewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,3.1,Samoa,Indonesia,VM Andrew,T Lafai,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,3.2,Samoa,Indonesia,VM Andrew,T Lafai,NLKWR Dewi,4,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,3.3,Samoa,Indonesia,VM Andrew,T Lafai,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,3.4,Samoa,Indonesia,VM Andrew,T Lafai,NLKWR Dewi,0,0,,,,,,bowled,VM Andrew,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,3.5,Samoa,Indonesia,Leitu Leong,T Lafai,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,3.6,Samoa,Indonesia,Leitu Leong,T Lafai,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,4.1,Samoa,Indonesia,T Lafai,Leitu Leong,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,4.2,Samoa,Indonesia,T Lafai,Leitu Leong,NMP Suwandewi,0,0,,,,,,caught,T Lafai,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,4.3,Samoa,Indonesia,RP Johnston,Leitu Leong,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,4.4,Samoa,Indonesia,RP Johnston,Leitu Leong,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,4.5,Samoa,Indonesia,RP Johnston,Leitu Leong,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,4.6,Samoa,Indonesia,RP Johnston,Leitu Leong,NMP Suwandewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,5.1,Samoa,Indonesia,RP Johnston,Leitu Leong,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,5.2,Samoa,Indonesia,RP Johnston,Leitu Leong,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,5.3,Samoa,Indonesia,RP Johnston,Leitu Leong,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,5.4,Samoa,Indonesia,RP Johnston,Leitu Leong,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,5.5,Samoa,Indonesia,RP Johnston,Leitu Leong,NLKWR Dewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,5.6,Samoa,Indonesia,Leitu Leong,RP Johnston,NLKWR Dewi,0,0,,,,,,bowled,Leitu Leong,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,6.1,Samoa,Indonesia,RP Johnston,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,6.2,Samoa,Indonesia,RP Johnston,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,6.3,Samoa,Indonesia,RP Johnston,F Sisifo,A Andriani,0,0,,,,,,run out,RP Johnston,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,6.4,Samoa,Indonesia,F Sisifo,TH Semau,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,6.5,Samoa,Indonesia,F Sisifo,TH Semau,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,6.6,Samoa,Indonesia,F Sisifo,TH Semau,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,7.1,Samoa,Indonesia,TH Semau,F Sisifo,NW Sariani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,7.2,Samoa,Indonesia,TH Semau,F Sisifo,NW Sariani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,7.3,Samoa,Indonesia,F Sisifo,TH Semau,NW Sariani,0,1,1,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,7.4,Samoa,Indonesia,F Sisifo,TH Semau,NW Sariani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,7.5,Samoa,Indonesia,F Sisifo,TH Semau,NW Sariani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,7.6,Samoa,Indonesia,F Sisifo,TH Semau,NW Sariani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,7.7,Samoa,Indonesia,F Sisifo,TH Semau,NW Sariani,2,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,8.1,Samoa,Indonesia,TH Semau,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,8.2,Samoa,Indonesia,TH Semau,F Sisifo,A Andriani,0,0,,,,,,bowled,TH Semau,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,8.3,Samoa,Indonesia,A Iopu,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,8.4,Samoa,Indonesia,A Iopu,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,8.5,Samoa,Indonesia,A Iopu,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,8.6,Samoa,Indonesia,A Iopu,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,9.1,Samoa,Indonesia,F Sisifo,A Iopu,NW Sariani,0,1,,,1,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,9.2,Samoa,Indonesia,A Iopu,F Sisifo,NW Sariani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,9.3,Samoa,Indonesia,A Iopu,F Sisifo,NW Sariani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,9.4,Samoa,Indonesia,A Iopu,F Sisifo,NW Sariani,4,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,9.5,Samoa,Indonesia,A Iopu,F Sisifo,NW Sariani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,9.6,Samoa,Indonesia,F Sisifo,A Iopu,NW Sariani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,10.1,Samoa,Indonesia,A Iopu,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,10.2,Samoa,Indonesia,A Iopu,F Sisifo,A Andriani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,10.3,Samoa,Indonesia,F Sisifo,A Iopu,A Andriani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,10.4,Samoa,Indonesia,A Iopu,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,10.5,Samoa,Indonesia,A Iopu,F Sisifo,A Andriani,0,0,,,,,,caught,A Iopu,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,10.6,Samoa,Indonesia,V Tafea,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,11.1,Samoa,Indonesia,F Sisifo,V Tafea,SAN Maypriani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,11.2,Samoa,Indonesia,V Tafea,F Sisifo,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,11.3,Samoa,Indonesia,V Tafea,F Sisifo,SAN Maypriani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,11.4,Samoa,Indonesia,F Sisifo,V Tafea,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,11.5,Samoa,Indonesia,F Sisifo,V Tafea,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,11.6,Samoa,Indonesia,F Sisifo,V Tafea,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,12.1,Samoa,Indonesia,V Tafea,F Sisifo,A Andriani,0,0,,,,,,bowled,V Tafea,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,12.2,Samoa,Indonesia,TM Faimalo,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,12.3,Samoa,Indonesia,TM Faimalo,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,12.4,Samoa,Indonesia,TM Faimalo,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,12.5,Samoa,Indonesia,TM Faimalo,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,12.6,Samoa,Indonesia,TM Faimalo,F Sisifo,A Andriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,13.1,Samoa,Indonesia,F Sisifo,TM Faimalo,SAN Maypriani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,13.2,Samoa,Indonesia,TM Faimalo,F Sisifo,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,13.3,Samoa,Indonesia,TM Faimalo,F Sisifo,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,13.4,Samoa,Indonesia,TM Faimalo,F Sisifo,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,13.5,Samoa,Indonesia,TM Faimalo,F Sisifo,SAN Maypriani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,13.6,Samoa,Indonesia,F Sisifo,TM Faimalo,SAN Maypriani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,14.1,Samoa,Indonesia,F Sisifo,TM Faimalo,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,14.2,Samoa,Indonesia,F Sisifo,TM Faimalo,NMP Suwandewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,14.3,Samoa,Indonesia,TM Faimalo,F Sisifo,NMP Suwandewi,0,1,,1,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,14.4,Samoa,Indonesia,TM Faimalo,F Sisifo,NMP Suwandewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,14.5,Samoa,Indonesia,F Sisifo,TM Faimalo,NMP Suwandewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,14.6,Samoa,Indonesia,TM Faimalo,F Sisifo,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,14.7,Samoa,Indonesia,TM Faimalo,F Sisifo,NMP Suwandewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,15.1,Samoa,Indonesia,F Sisifo,TM Faimalo,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,15.2,Samoa,Indonesia,F Sisifo,TM Faimalo,SAN Maypriani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,15.3,Samoa,Indonesia,TM Faimalo,F Sisifo,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,15.4,Samoa,Indonesia,TM Faimalo,F Sisifo,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,15.5,Samoa,Indonesia,TM Faimalo,F Sisifo,SAN Maypriani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,15.6,Samoa,Indonesia,F Sisifo,TM Faimalo,SAN Maypriani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,16.1,Samoa,Indonesia,TM Faimalo,F Sisifo,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,16.2,Samoa,Indonesia,TM Faimalo,F Sisifo,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,16.3,Samoa,Indonesia,TM Faimalo,F Sisifo,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,16.4,Samoa,Indonesia,TM Faimalo,F Sisifo,NLKWR Dewi,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,16.5,Samoa,Indonesia,TM Faimalo,F Sisifo,NLKWR Dewi,0,1,1,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,16.6,Samoa,Indonesia,TM Faimalo,F Sisifo,NLKWR Dewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,16.7,Samoa,Indonesia,F Sisifo,TM Faimalo,NLKWR Dewi,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,17.1,Samoa,Indonesia,F Sisifo,TM Faimalo,L Qiao,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,17.2,Samoa,Indonesia,F Sisifo,TM Faimalo,L Qiao,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,17.3,Samoa,Indonesia,TM Faimalo,F Sisifo,L Qiao,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,17.4,Samoa,Indonesia,TM Faimalo,F Sisifo,L Qiao,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,17.5,Samoa,Indonesia,TM Faimalo,F Sisifo,L Qiao,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,17.6,Samoa,Indonesia,TM Faimalo,F Sisifo,L Qiao,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,18.1,Samoa,Indonesia,F Sisifo,TM Faimalo,NW Sariani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,18.2,Samoa,Indonesia,TM Faimalo,F Sisifo,NW Sariani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,18.3,Samoa,Indonesia,TM Faimalo,F Sisifo,NW Sariani,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,18.4,Samoa,Indonesia,TM Faimalo,F Sisifo,NW Sariani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,18.5,Samoa,Indonesia,F Sisifo,TM Faimalo,NW Sariani,4,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,18.6,Samoa,Indonesia,F Sisifo,TM Faimalo,NW Sariani,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,19.1,Samoa,Indonesia,F Sisifo,TM Faimalo,L Qiao,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,19.2,Samoa,Indonesia,F Sisifo,TM Faimalo,L Qiao,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,19.3,Samoa,Indonesia,F Sisifo,TM Faimalo,L Qiao,0,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,19.4,Samoa,Indonesia,F Sisifo,TM Faimalo,L Qiao,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,19.5,Samoa,Indonesia,TM Faimalo,F Sisifo,L Qiao,0,3,3,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,19.6,Samoa,Indonesia,TM Faimalo,F Sisifo,L Qiao,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),1,19.7,Samoa,Indonesia,F Sisifo,TM Faimalo,L Qiao,0,0,,,,,,stumped,F Sisifo,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),2,0.1,Indonesia,Samoa,A Andriani,M Corazon,V Tafea,0,1,1,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),2,0.2,Indonesia,Samoa,A Andriani,M Corazon,V Tafea,4,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),2,0.3,Indonesia,Samoa,A Andriani,M Corazon,V Tafea,4,1,,1,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),2,0.4,Indonesia,Samoa,A Andriani,M Corazon,V Tafea,3,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),2,0.5,Indonesia,Samoa,M Corazon,A Andriani,V Tafea,1,0,,,,,,,,,
1394805,2023,2023-09-05,Vanuatu Cricket Ground (Oval 2),2,0.6,Indonesia,Samoa,A Andriani,M Corazon,V Tafea,0,0,,,,,,,,,
