match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,0.1,China,Thailand,C Zhou,Chen Yue,C Sutthiruang,0,0,,,,,,lbw,C Zhou,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,0.2,China,Thailand,Zi Mei,Chen Yue,C Sutthiruang,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,0.3,China,Thailand,Zi Mei,Chen Yue,C Sutthiruang,0,1,1,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,0.4,China,Thailand,Zi Mei,Chen Yue,C Sutthiruang,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,0.5,China,Thailand,Zi Mei,Chen Yue,C Sutthiruang,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,0.6,China,Thailand,Zi Mei,Chen Yue,C Sutthiruang,1,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,0.7,China,Thailand,Chen Yue,Zi Mei,C Sutthiruang,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,1.1,China,Thailand,Zi Mei,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,1.2,China,Thailand,Zi Mei,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,1.3,China,Thailand,Zi Mei,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,1.4,China,Thailand,Zi Mei,Chen Yue,N Boochatham,1,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,1.5,China,Thailand,Chen Yue,Zi Mei,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,1.6,China,Thailand,Chen Yue,Zi Mei,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,2.1,China,Thailand,Zi Mei,Chen Yue,C Sutthiruang,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,2.2,China,Thailand,Zi Mei,Chen Yue,C Sutthiruang,1,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,2.3,China,Thailand,Chen Yue,Zi Mei,C Sutthiruang,4,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,2.4,China,Thailand,Chen Yue,Zi Mei,C Sutthiruang,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,2.5,China,Thailand,Chen Yue,Zi Mei,C Sutthiruang,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,2.6,China,Thailand,Chen Yue,Zi Mei,C Sutthiruang,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,3.1,China,Thailand,Zi Mei,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,3.2,China,Thailand,Zi Mei,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,3.3,China,Thailand,Zi Mei,Chen Yue,N Boochatham,0,0,,,,,,caught,Zi Mei,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,3.4,China,Thailand,Han Lili,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,3.5,China,Thailand,Han Lili,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,3.6,China,Thailand,Han Lili,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,4.1,China,Thailand,Chen Yue,Han Lili,P Maya,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,4.2,China,Thailand,Chen Yue,Han Lili,P Maya,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,4.3,China,Thailand,Chen Yue,Han Lili,P Maya,1,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,4.4,China,Thailand,Han Lili,Chen Yue,P Maya,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,4.5,China,Thailand,Han Lili,Chen Yue,P Maya,0,0,,,,,,run out,Han Lili,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,4.6,China,Thailand,Chen Yue,M Zhu,P Maya,4,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,5.1,China,Thailand,M Zhu,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,5.2,China,Thailand,M Zhu,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,5.3,China,Thailand,M Zhu,Chen Yue,N Boochatham,0,0,,,,,,bowled,M Zhu,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,5.4,China,Thailand,Xiuli Jin,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,5.5,China,Thailand,Xiuli Jin,Chen Yue,N Boochatham,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,5.6,China,Thailand,Xiuli Jin,Chen Yue,N Boochatham,1,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,6.1,China,Thailand,Xiuli Jin,Chen Yue,P Maya,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,6.2,China,Thailand,Xiuli Jin,Chen Yue,P Maya,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,6.3,China,Thailand,Xiuli Jin,Chen Yue,P Maya,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,6.4,China,Thailand,Xiuli Jin,Chen Yue,P Maya,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,6.5,China,Thailand,Xiuli Jin,Chen Yue,P Maya,0,0,,,,,,bowled,Xiuli Jin,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,6.6,China,Thailand,Rongyu Zhao,Chen Yue,P Maya,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,7.1,China,Thailand,Chen Yue,Rongyu Zhao,T Putthawong,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,7.2,China,Thailand,Chen Yue,Rongyu Zhao,T Putthawong,0,0,,,,,,,,,
1394765,2023,2023-09-03,"UKM-YSD Cricket Oval, Bangi",1,7.3,China,Thailand,Chen Yue,Rongyu Zhao,T Putthawong,0,0,,,,,,,,,
